PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,HFUE2ZM/B,STDS2000101@APP,Seagate 2TB Backup Plus for Mac USB 3.0 Portable,Active,Live,779,85,560,916,142,142,142,142,139,1745,83,83,282,4,4,4,84
LU10,HFY62ZM/B,STEZ500400@APP,Lacie 500GB Rugged SSD THUNDERBOLT & USB 3.0 v2,Active,Live,5,2,104,20,3,3,3,3,0,72,17,17,71,3,8,8,16
LU10,HFY72Z/B,STEX3000200@APP,Lacie d2 USB 3.0 Thunderbolt 2 3TB,Active,Live,28,5,204,84,13,13,13,13,3,15,58,58,78,2,10,10,0
LU10,HFY82Z/B,STEX4000200@APP,Lacie d2 USB 3.0 Thunderbolt 2 4TB,Active,Live,56,6,144,78,12,12,12,12,1,109,27,27,54,3,10,10,30
LU10,HFY92Z/A,LAC-9000472EK@AP,LACIE 6TB D2 THUNDERBOLT2 & USB 3.0-INT,Active,Live,19,1,12,20,3,3,3,3,0,63,2,2,12,2,3,3,3
LU10,HFYG2ZM/B,STEY6000200@APP,Lacie 6TB 2big Thunderbolt2 & USB 3.0 RAID inc cbl,Active,Live,20,0,108,13,2,2,2,2,8,6,-15,,0,0,2,2,0
LU10,HFYH2ZM/A,LAC-9000438EK@AP,LACIE 8TB 2BIG TBOLT2 & USB3 W/CBL-ZML,Active,Live,8,1,24,7,1,1,1,1,0,15,0,,1,1,2,2,0
LU10,HFYJ2ZM/A,LAC-9000473EK@AP,LACIE 12TB 2BIG TBOLT2 & USB3 W/CBL-ZML,Active,Live,25,0,10,20,3,3,3,3,0,25,-5,,5,1,2,2,0
LU10,HG012ZM/B,LOG939-001374@APP,LOGITECH HINGE FOLIO IPAD AIR-BLK-ZML,Active,Live,308,10,8,284,44,44,44,44,12,55,-26,,24,2,4,8,0
LU10,HG022ZM/B,LOG939-001391@APP,LOGITECH HINGE FOLIO IPAD AIR-RED-ZML,Active,Live,109,4,96,149,23,23,23,23,3,0,41,,0,0,4,8,0
LU10,HG032ZM/B,LOG939-001360@APP,LOGITECH HINGE FOLIO IPAD MINI R-BLK-ZML,Active,Live,181,9,40,213,33,33,33,33,40,23,1,1,35,4,4,8,0
LU10,HG042ZM/B,LOG939-001365@APP,LOGITECH HINGE FOLIO IPAD R-RED-ZML,Active,Live,114,4,56,117,18,18,18,18,0,0,7,,0,0,4,8,0
LU10,HG0F2VC/C,PLA20101075.2@APP,Plantronics Voyager Edge Black,Active,Live,76,8,528,162,25,25,25,25,16,114,78,78,112,3,3,12,0
LU10,HG0G2VC/A,PLA20102075@APP,PLANTRONICS VOYAGER EDGE WHITE-CAF,Active,Live,1,1,0,7,1,1,1,1,0,430,7,7,10,2,3,12,12
LU10,HG6L2ZM/A,NAIM-00-019-0002@APP ,NAIM AUDIO MU-SO SPEAKER-ZML,Active,Live,19,0,0,20,3,3,3,3,0,196,1,1,1,1,1,1,1
LU10,HG6Q2ZM/B,SANSDCZ93-032G-GA46@APP,SANDISK LOOP USB 3.0 FLASH DRIVE 32G-ZML,Active,Live,409,38,500,484,75,75,75,75,102,885,11,11,113,3,20,100,20
LU10,HG6R2ZM/B,SANSDCZ93-064G-GA46@APP,SANDISK LOOP USB 3.0 FLASH DRIVE 64G-ZML,Active,Live,228,10,380,291,45,45,45,45,53,446,20,20,122,4,20,100,20
LU10,HG782ZM/A,LAC-9000499EK@AP,LACIE 8BIG THUNDERBOLT 2 24TB-ZML,Active,Live,0,0,0,0,0,0,0,0,0,6,0,,0,0,1,1,0
LU10,HGB52ZM/A,PIODDJ-WEGO3-W/SYXJ5@APP,Pioneer DDJ WeGO 3 - WHT-ZML,Active,Live,0,0,0,7,1,1,1,1,0,72,7,7,9,2,2,2,8
LU10,HGCR2ZM/B,STEV1000400@APP,Lacie 1TB Rugged THUNDERBOLT& USB 3.0 v2,Active,Live,272,19,352,271,42,42,42,42,47,232,-29,,62,3,10,10,0
LU10,HGD32ZM/B,STEV2000400@APP,Lacie 2TB Rugged THUNDERBOLT& USB 3.0 v2,Active,Live,329,19,432,407,63,63,63,63,35,606,62,62,276,4,10,10,70
LU10,HGLJ2ZM/A,RHAT10I@APP,RHA T10I IN-EAR HEADPHONES BLK-ZML,Active,Live,49,8,0,48,11,11,11,0,2,0,5,,0,0,6,24,0
LU10,HGMT2ZM/B,TECH21-5058@APP,HGMT2ZM/B:TECH21 EVO MESH SPORT IPH6 SMOKE/BLK-ZML,Active,Live,1895,132,0,2064,320,320,320,320,530,5196,-229,,180,2,10,100,0
LU10,HGMU2ZM/B,TECH21-5059@APP,HGMU2ZM/B:TECH21 EVO MESH SPORT IPH6 CLR/WHT-ZML,Active,Live,1850,67,0,1084,168,168,168,168,0,5344,-699,,0,0,10,100,0
LU10,HGNF2ZM/C,TECH215186@APP,TECH21 AG IMPACT SHIELD IPH6-ZML,Active,Live,5195,173,0,2561,397,397,397,397,0,30461,-2461,,0,0,10,100,0
LU10,HGNG2ZM/C,TECH215187@APP,TECH21 AG IMPACT SHIELD IPH6 PLUS-ZML,Active,Live,2070,66,0,1149,178,178,178,178,0,9222,-855,,0,0,10,100,0
LU10,HGPQ2ZM/A,LOG984-000438@APP,ULTIMATE EARS MEGA BOOM SPKR BLACK-ZML,Active,Live,42,5,48,65,10,10,10,10,0,0,28,,0,0,4,8,0
LU10,HGPR2ZM/A,LOG984-000479@APP,ULTIMATE EARS MEGA BOOM SPKR BLUE-ZML,Active,Live,9,1,26,13,2,2,2,2,0,0,5,,0,0,4,8,0
LU10,HGPT2ZM/A,LOG984-000485@APP,ULTIMATE EARS MEGA BOOM SPKR RED-ZML,Active,Live,3,0,0,7,1,1,1,1,0,18,4,4,4,1,4,8,4
LU10,HH5S2B/B,LOG920-007648@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-GBR,Active,Live,231,11,40,258,40,40,40,40,18,19,20,20,20,1,4,8,16
LU10,HH5S2D/B,LOG920-007642@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-DEU,Active,Live,0,0,8,0,0,0,0,0,0,24,0,,5,1,4,8,0
LU10,HH5S2E/B,LOG920-007646@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-SPA,Active,Live,0,0,24,0,0,0,0,0,0,11,0,,2,1,4,8,0
LU10,HH5S2F/B,LOG920-007643@APP,HH5S2F/B:LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-FRA,Active,Live,0,0,24,0,0,0,0,0,0,11,0,,11,1,4,8,0
LU10,HH5S2H/B,LOG920-007647@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-NOB,Active,Live,0,0,12,0,0,0,0,0,0,7,0,,0,0,4,8,0
LU10,HH5S2SM/B,LOG920-007644@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-SWM,Active,Live,0,0,16,0,0,0,0,0,0,8,0,,6,1,4,8,0
LU10,HH5S2T/B,LOG920-007645@APP,LOGITECH KEYS-TO-GO BT KEYBOARD-BLK-ITA,Active,Live,0,0,0,0,0,0,0,0,0,110,0,,16,1,4,8,0
LU10,HH5T2B/B,LOG920-007817@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-GBR,Active,Live,42,0,0,20,3,3,3,3,0,0,-22,,0,0,4,8,0
LU10,HH5T2D/B,LOG920-007811@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-DEU,Active,Live,0,0,0,0,0,0,0,0,0,8,0,,0,0,4,8,0
LU10,HH5T2E/B,LOG920-007815@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-SPA,Active,Live,0,0,0,0,0,0,0,0,0,28,0,,0,0,4,8,0
LU10,HH5T2F/B,LOG920-007812@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-FRA,Active,Live,0,0,0,0,0,0,0,0,0,27,0,,11,1,4,8,0
LU10,HH5T2H/B,LOG920-007816@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-NOB,Active,Live,0,0,0,0,0,0,0,0,0,11,0,,0,0,4,8,0
LU10,HH5T2SM/B,LOG920-007813@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-SWM,Active,Live,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HH5T2T/B,LOG920-007814@APP,LOGITECH KEYS-TO-GO BT KEYBOARD- RED-ITA,Active,Live,0,0,16,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HH5W2ZM/B,LOG939-001397@APP,LOGITECH HINGE FOLIO IPAD AIR 2 BLK-ZML,Active,Live,277,26,56,342,53,53,53,53,94,1,-3,,28,2,4,8,0
LU10,HH852ZM/B,LOG939-001349@APP,LOGITECH ANYANGLE CASE IPAD AIR 2-BK-ZML,Active,Live,121,3,0,123,19,19,19,19,12,84,-7,,6,2,4,8,0
LU10,HH862ZM/B,LOG939-001379@APP,LOGITECH ANYANGLE IPAD MINI - BLK-ZML,Active,Live,107,4,0,117,18,18,18,18,27,79,-13,,20,1,4,8,0
LU10,HH872B/B,LOG920-007681@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-GBR,Active,Live,102,6,24,129,20,20,20,20,21,6,12,12,13,2,4,8,4
LU10,HH872D/B,LOG920-007675@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-DEU,Active,Live,0,0,0,0,0,0,0,0,0,39,0,,7,1,4,8,0
LU10,HH872E/B,LOG920-007679@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-SPA,Active,Live,0,0,0,0,0,0,0,0,0,15,0,,4,1,4,8,0
LU10,HH872F/B,LOG920-007676@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-FRA,Active,Live,0,0,0,0,0,0,0,0,0,21,0,,12,1,4,8,0
LU10,HH872H/B,LOG920-007680@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-NOB,Active,Live,0,0,0,0,0,0,0,0,0,16,0,,0,0,4,8,0
LU10,HH872SM/B,LOG920-007677@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-SWM,Active,Live,0,0,8,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HH872T/B,LOG920-007678@APP,LOGITECH ULTRATHIN IPAD AIR 2 - SG-ITA,Active,Live,0,0,0,0,0,0,0,0,0,19,0,,0,0,4,8,0
LU10,HHJ82ZM/A,TECH215074@APP,Tech21 Impact Folio for iPad Mini - Black Bird,Active,Live,36,0,200,26,4,4,4,4,0,4,-10,,0,0,5,50,0
LU10,HHJ92ZM/A,TECH215075@APP,Tech21 Impact Folio for iPad Mini - Indigo Dream,Active,Live,22,0,150,13,2,2,2,2,0,32,-9,,0,0,5,50,0
LU10,HHQR2ZM/A,ANKI000-00046@APP,Anki Drive Overdrive Starter Kit,Active,Live,70,5,0,52,8,8,8,8,0,773,-13,,0,0,1,1,0
LU10,HHQS2LL/A,ANKI000-00033@APP,Anki Overdrive Expansion car Thermo,Active,Live,55,1,0,26,4,4,4,4,0,92,-28,,0,0,5,10,0
LU10,HHQT2LL/A,ANKI000-00032@APP,Anki Overdrive Expansion car Nuke,Active,Live,0,0,0,0,0,0,0,0,0,149,0,,0,0,5,10,0
LU10,HHQV2LL/A,ANKI000-00044@APP,Anki Overdrive Expansion car Guardian,Active,Live,28,1,0,20,3,3,3,3,0,5,-7,,0,0,5,10,0
LU10,HHR22ZM/A,TECH215080@APP,HHR22ZM/A:TECH21 EVO MESH SPORT IPH6 BLUE-ZML,Active,Live,505,21,0,484,75,75,75,75,104,1037,-104,,77,2,10,100,0
LU10,HHR52ZM/A,TECH215078@APP,HHR52ZM/A:TECH21 EVO MESH SPORT IPH6 GREEN-ZML,Active,Live,390,25,300,439,68,68,68,68,116,814,-42,,119,2,10,100,0
LU10,HHSX2ZM/B,LOG984-000611@APP,LOGITECH UE ROLL BT SPEAKER-VOLCANO-ZML,Active,Live,88,7,0,80,11,11,11,15,0,135,-1,,24,1,4,8,0
LU10,HHVF2ZM/A,53PW06@APP,HHVF2ZM/A:FIFTYTHREE PENCIL STYLUS WAL REV 2-ZML,Active,Live,103,17,750,265,41,41,41,41,101,306,78,78,231,4,50,50,100
LU10,HHWV2ZM/A,TECH215178@APP,Tech21 Evo Mesh Sport 2 for iPhone 6 Plus - Lime Green,Active,Live,131,1,0,97,15,15,15,15,0,962,-33,,23,2,10,100,0
LU10,HHWX2ZM/A,TECH215179@APP,Tech21 Evo Mesh Sport 2 for iPhone 6 Plus- Salmon,Active,Live,128,8,0,123,19,19,19,19,0,2326,3,3,22,3,10,100,10
LU10,HHWY2ZM/A,TECH21-5079@APP,HHWY2ZM/A:TECH21 EVO MESH SPORT V.2 IPH6 SALMO-ZML,Active,Live,473,42,1,600,93,93,93,93,109,1441,60,60,199,4,10,100,100
LU10,HHWZ2ZM/A,TECH215180@APP,Tech21 Evo Mesh Sport 2 for iPhone 6 Plus - Blue,Active,Live,154,3,0,97,15,15,15,15,0,1745,-54,,8,1,10,100,0
LU10,HHX22ZM/A,TECH215177@APP,Tech21 Evo Mesh Sport 2 for iPhone 6 Plus - White,Active,Live,339,17,0,310,48,48,48,48,0,3243,-12,,50,2,10,100,0
LU10,HHX32ZM/A,TECH215176@APP,Tech21 Evo Mesh Sport 2 for iPhone 6 Plus - Black/Smoke,Active,Live,491,32,50,555,86,86,86,86,96,1107,0,,129,3,10,100,0
LU10,HHX92B/A,LOG920-007268@APP,HHX92B/A:LOGITECH CANVAS IPAD AIR 2 BLK-GBR,Active,Live,647,108,216,1091,169,169,169,169,164,71,388,388,395,2,4,8,68
LU10,HHX92D/A,LOG920-007262@APP,HHX92D/A:LOGITECH CANVAS IPAD AIR 2 BLK-DEU,Active,Live,0,0,104,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HHX92E/A,LOG920-007266@APP,HHX92E/A:LOGITECH CANVAS IPAD AIR 2 BLK-SPA,Active,Live,0,0,80,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HHX92F/A,LOG920-007263@APP,HHX92F/A:LOGITECH CANVAS IPAD AIR 2 BLK-FRA,Active,Live,0,0,312,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HHX92H/A,LOG920-007267@APP,HHX92H/A:LOGITECH CANVAS IPAD AIR 2 BLK-NOB,Active,Live,0,0,0,0,0,0,0,0,0,30,0,,0,0,4,8,0
LU10,HHX92SM/A,LOG920-007264@APP,HHX92SM/A:LOGITECH CANVAS IPAD AIR 2 BLK-SWM,Active,Live,0,0,32,0,0,0,0,0,0,3,0,,21,1,4,8,0
LU10,HHX92T/A,LOG920-007265@APP,HHX92T/A:LOGITECH CANVAS IPAD AIR 2 BLK-ITA,Active,Live,0,0,40,0,0,0,0,0,0,30,0,,20,1,4,8,0
LU10,HHXA2B/A,LOG920-007280@APP,HHXA2B/A:LOGITECH CANVAS IPAD AIR 2 RED-GBR,Active,Live,268,8,88,278,43,43,43,43,7,0,11,,0,0,4,8,0
LU10,HHXA2D/A,LOG920-007274@APP,HHXA2D/A:LOGITECH CANVAS IPAD AIR 2 RED-DEU,Active,Live,0,0,0,0,0,0,0,0,0,16,0,,0,0,4,8,0
LU10,HHXA2E/A,LOG920-007278@APP,HHXA2E/A:LOGITECH CANVAS IPAD AIR 2 RED-SPA,Active,Live,0,0,0,0,0,0,0,0,0,36,0,,0,0,4,8,0
LU10,HHXA2F/A,LOG920-007275@APP,HHXA2F/A:LOGITECH CANVAS IPAD AIR 2 RED-FRA,Active,Live,0,0,0,0,0,0,0,0,0,25,0,,0,0,4,8,0
LU10,HHXA2H/A,LOG920-007279@APP,Logitech Canvas Keyboard Case for iPad Air 2 - Red Pan Nordic,Active,Live,0,0,0,0,0,0,0,0,0,105,0,,0,0,4,8,0
LU10,HHXA2SM/A,LOG920-007276@APP,LOGITECH CANVAS IPAD AIR 2 RED-SWM,Active,Live,0,0,32,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HHXA2T/A,LOG920-007277@APP,HHXA2T/A:LOGITECH CANVAS IPAD AIR 2 RED-ITA,Active,Live,0,0,24,0,0,0,0,0,0,7,0,,0,0,4,8,0
LU10,HHXB2B/A,LOG920-007294@APP,HHXB2B/A:LOGITECH CANVAS IPAD AIR BLK-GBR,Active,Live,327,20,184,484,75,75,75,75,22,1,155,155,184,2,4,8,0
LU10,HHXB2D/A,LOG920-007288@APP,HHXB2D/A:LOGITECH CANVAS IPAD AIR BLK-DEU,Active,Live,0,0,80,0,0,0,0,0,0,0,0,,0,0,4,8,0
